row,area,notes,country_code,iso3,location_type_code,subregion_code,subregion_name,region_code,region_name,more_developed,less_developed,least_developed,less_not_least_developed,high_income,middle_income,upper_middle_income,lower_middle_income,low_income,sub_saharan_africa,wpp_explicit_hiv_model,population_lt_90k,income_level
177,TFYR Macedonia,21,807,MKD,4,925,Southern Europe,908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,middle
179,Austria,NA,40,AUT,4,926,Western Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
180,Belgium,NA,56,BEL,4,926,Western Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
181,France,NA,250,FRA,4,926,Western Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
182,Germany,NA,276,DEU,4,926,Western Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
183,Liechtenstein,NA,438,LIE,4,926,Western Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,high
184,Luxembourg,NA,442,LUX,4,926,Western Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
185,Monaco,NA,492,MCO,4,926,Western Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,high
186,Netherlands,NA,528,NLD,4,926,Western Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
187,Switzerland,NA,756,CHE,4,926,Western Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
190,Anguilla,NA,660,AIA,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes,
191,Antigua and Barbuda,NA,28,ATG,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
192,Aruba,NA,533,ABW,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
193,Bahamas,NA,44,BHS,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
194,Barbados,NA,52,BRB,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
195,British Virgin Islands,NA,92,VGB,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,high
196,Caribbean Netherlands,22,535,BES,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes,
197,Cayman Islands,NA,136,CYM,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,high
198,Cuba,NA,192,CUB,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
199,Curaçao,NA,531,CUW,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
200,Dominica,NA,212,DMA,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,middle
201,Dominican Republic,NA,214,DOM,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
202,Grenada,NA,308,GRD,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
203,Guadeloupe,23,312,GLP,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,No,
204,Haiti,NA,332,HTI,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,low
205,Jamaica,NA,388,JAM,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
206,Martinique,NA,474,MTQ,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,No,
207,Montserrat,NA,500,MSR,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes,
208,Puerto Rico,NA,630,PRI,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
209,Saint Kitts and Nevis,NA,659,KNA,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,high
210,Saint Lucia,NA,662,LCA,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
211,Saint Vincent and the Grenadines,NA,670,VCT,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
212,Sint Maarten (Dutch part),NA,534,SXM,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,high
213,Trinidad and Tobago,NA,780,TTO,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
214,Turks and Caicos Islands,NA,796,TCA,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,high
215,United States Virgin Islands,NA,850,VIR,4,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
217,Belize,NA,84,BLZ,4,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
218,Costa Rica,NA,188,CRI,4,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
219,El Salvador,NA,222,SLV,4,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
220,Guatemala,NA,320,GTM,4,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
221,Honduras,NA,340,HND,4,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
222,Mexico,NA,484,MEX,4,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
223,Nicaragua,NA,558,NIC,4,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
224,Panama,NA,591,PAN,4,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
226,Argentina,NA,32,ARG,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
