state,age,total_pop,total_citizen_pop,total_registered,pct_total_registered,pct_total_registered_moe,pct_citizen_registered,pct_citizen_registered_moe,total_voted,pct_total_voted,pct_total_voted_moe,pct_citizen_voted,pct_citizen_voted_moe
MISSOURI,65+,916,907,723,78.9,4.1,79.7,4.1,460,50.2,5,50.7,5.1
MONTANA,Total,788,782,506,64.3,2.2,64.8,2.2,391,49.7,2.3,50.1,2.4
MONTANA,18 to 24,101,99,43,42.8,6.5,43.7,6.6,21,20.7,5.3,21.1,5.4
MONTANA,25 to 34,136,133,73,53.7,5.6,54.8,5.7,42,31,5.2,31.6,5.3
MONTANA,35 to 44,104,104,73,70.2,5.9,70.2,5.9,55,52.8,6.5,52.8,6.5
MONTANA,45 to 64,278,277,190,68.2,3.7,68.5,3.7,159,57,3.9,57.2,3.9
MONTANA,65+,169,169,128,75.6,4.4,75.6,4.4,115,68.2,4.7,68.2,4.7
NEBRASKA,Total,1400,1306,873,62.4,2.6,66.9,2.6,579,41.4,2.6,44.3,2.8
NEBRASKA,18 to 24,180,166,76,42.3,7.4,45.8,7.7,26,14.4,5.2,15.5,5.6
NEBRASKA,25 to 34,265,237,124,46.7,6.1,52.3,6.5,68,25.7,5.4,28.8,5.9
NEBRASKA,35 to 44,219,191,130,59.3,6.7,68.1,6.8,79,35.9,6.5,41.3,7.1
NEBRASKA,45 to 64,457,438,322,70.4,4.3,73.6,4.2,232,50.8,4.7,53.1,4.8
NEBRASKA,65+,278,275,221,79.5,4.9,80.6,4.8,174,62.6,5.8,63.4,5.8
NEVADA,Total,2128,1858,1088,51.1,2.6,58.5,2.7,693,32.6,2.4,37.3,2.7
NEVADA,18 to 24,245,233,98,39.9,7.5,41.8,7.7,42,17.3,5.8,18.1,6
NEVADA,25 to 34,388,332,163,42.1,6,49.1,6.5,89,23,5.1,26.8,5.8
NEVADA,35 to 44,379,310,176,46.4,6.1,56.7,6.7,91,23.9,5.2,29.3,6.2
NEVADA,45 to 64,718,606,370,51.5,4.4,61.1,4.7,248,34.6,4.2,41,4.8
NEVADA,65+,399,377,281,70.5,5.4,74.6,5.3,223,55.8,5.9,59,6
NEW HAMPSHIRE,Total,1047,1015,694,66.3,2.4,68.3,2.4,509,48.6,2.6,50.2,2.6
NEW HAMPSHIRE,18 to 24,113,113,53,46.7,7.8,46.7,7.8,21,19,6.1,19,6.1
NEW HAMPSHIRE,25 to 34,164,151,77,47,6.5,51.3,6.8,40,24.4,5.6,26.6,6
NEW HAMPSHIRE,35 to 44,159,155,106,66.8,6.2,68.4,6.2,77,48.3,6.6,49.5,6.7
NEW HAMPSHIRE,45 to 64,398,387,290,72.8,3.7,74.9,3.7,225,56.5,4.1,58.2,4.2
NEW HAMPSHIRE,65+,213,210,168,78.9,4.6,80.1,4.6,146,68.7,5.3,69.7,5.3
NEW JERSEY,Total,6820,5909,3919,57.5,1.8,66.3,1.9,2151,31.5,1.7,36.4,1.9
NEW JERSEY,18 to 24,772,698,328,42.5,5.4,47,5.7,100,12.9,3.6,14.3,4
NEW JERSEY,25 to 34,1139,877,485,42.6,4.4,55.3,5.1,160,14,3.1,18.3,3.9
NEW JERSEY,35 to 44,1124,860,591,52.5,4.5,68.7,4.8,263,23.4,3.8,30.5,4.7
NEW JERSEY,45 to 64,2427,2181,1576,65,2.9,72.3,2.9,963,39.7,3,44.2,3.2
NEW JERSEY,65+,1358,1292,940,69.2,3.8,72.7,3.7,666,49,4.1,51.5,4.2
NEW MEXICO,Total,1536,1417,919,59.9,2.3,64.9,2.4,646,42.1,2.3,45.6,2.5
NEW MEXICO,18 to 24,196,184,50,25.7,5.8,27.3,6.1,23,11.6,4.3,12.3,4.5
NEW MEXICO,25 to 34,268,243,125,46.9,5.7,51.6,6,63,23.7,4.8,26.1,5.2
NEW MEXICO,35 to 44,230,195,136,59,6,69.4,6.1,80,34.7,5.8,40.8,6.5
NEW MEXICO,45 to 64,504,470,350,69.4,3.8,74.4,3.7,264,52.4,4.1,56.2,4.3
NEW MEXICO,65+,338,323,258,76.4,4.3,79.8,4.2,216,63.8,4.9,66.7,4.9
NEW YORK,Total,15274,13611,8078,52.9,1.2,59.4,1.3,4680,30.6,1.1,34.4,1.2
NEW YORK,18 to 24,1959,1738,733,37.4,3.3,42.2,3.6,258,13.2,2.3,14.9,2.6
NEW YORK,25 to 34,2882,2444,1213,42.1,2.8,49.6,3.1,509,17.7,2.2,20.8,2.5
NEW YORK,35 to 44,2310,1946,1195,51.7,3.2,61.4,3.4,602,26.1,2.8,30.9,3.2
NEW YORK,45 to 64,5153,4653,2948,57.2,2.1,63.3,2.2,1899,36.9,2.1,40.8,2.2
NEW YORK,65+,2971,2830,1989,66.9,2.6,70.3,2.6,1411,47.5,2.8,49.9,2.9
NORTH CAROLINA,Total,7412,6857,4779,64.5,1.7,69.7,1.7,3170,42.8,1.8,46.2,1.8
NORTH CAROLINA,18 to 24,1092,1008,451,41.3,4.5,44.7,4.8,235,21.6,3.8,23.4,4.1
NORTH CAROLINA,25 to 34,1199,1037,669,55.8,4.4,64.5,4.5,347,28.9,4,33.5,4.5
NORTH CAROLINA,35 to 44,1091,937,657,60.2,4.5,70.2,4.6,404,37.1,4.5,43.2,4.9
NORTH CAROLINA,45 to 64,2582,2452,1869,72.4,2.7,76.2,2.6,1262,48.9,3,51.5,3.1
NORTH CAROLINA,65+,1448,1424,1132,78.2,3.3,79.5,3.3,921,63.6,3.9,64.7,3.9
NORTH DAKOTA,Total,567,547,363,64.1,2.4,66.4,2.4,279,49.2,2.5,51,2.5
NORTH DAKOTA,18 to 24,82,77,36,43.5,6.5,46.4,6.8,21,25.1,5.7,26.7,6
NORTH DAKOTA,25 to 34,121,114,68,56.2,5.4,59.4,5.5,45,37.2,5.2,39.4,5.4
NORTH DAKOTA,35 to 44,78,76,48,60.7,6.6,63,6.6,32,41.2,6.6,42.8,6.8
NORTH DAKOTA,45 to 64,184,180,128,69.5,4,71.3,4,106,57.4,4.3,59,4.4
NORTH DAKOTA,65+,101,100,84,82.9,4.5,83.5,4.4,75,74.3,5.2,74.8,5.2
OHIO,Total,8772,8509,5657,64.5,1.5,66.5,1.5,3378,38.5,1.6,39.7,1.6
OHIO,18 to 24,985,968,421,42.8,4.7,43.5,4.8,122,12.4,3.2,12.6,3.2
OHIO,25 to 34,1488,1408,882,59.2,3.8,62.6,3.9,404,27.1,3.5,28.7,3.6
OHIO,35 to 44,1383,1312,930,67.3,3.8,70.9,3.8,501,36.2,3.9,38.2,4
OHIO,45 to 64,3033,2955,2043,67.4,2.6,69.1,2.6,1293,42.6,2.7,43.7,2.7
OHIO,65+,1883,1867,1381,73.3,3.1,74,3.1,1059,56.2,3.4,56.7,3.5
OKLAHOMA,Total,2851,2690,1644,57.7,2.7,61.1,2.7,920,32.3,2.5,34.2,2.7
OKLAHOMA,18 to 24,382,352,119,31.1,6.9,33.8,7.3,42,10.9,4.6,11.8,5
