fips,pop_2015
27017,35379
27019,98596
27021,28677
27023,12065
27025,54123
27027,62064
27029,8804
27031,5219
27033,11430
27035,63250
27037,414120
27039,20404
27041,36794
27043,13981
27045,20716
27047,30488
27049,46033
27051,5867
27053,1223385
27055,18685
27057,20646
27059,38259
27061,45246
27063,10082
27065,15872
27067,42562
27069,4402
27071,12804
27073,6870
27075,10544
27077,3870
27079,27717
27081,5711
27083,25771
27085,35791
27087,5435
27089,9408
27091,20020
27093,23059
27095,25481
27097,32756
27099,39305
27101,8386
27103,33464
27105,21811
27107,6619
27109,151334
27111,57599
27113,14248
27115,29045
27117,9254
27119,31458
27121,10926
27123,537542
27125,4029
27127,15425
27129,14781
27131,65149
27133,9452
27135,15622
27137,200343
27139,141453
27141,91377
27143,14853
27145,155636
27147,36621
27149,9833
27151,9363
27153,24339
27155,3367
27157,21375
27159,13668
27161,18929
27163,250760
27165,10933
27167,6362
27169,50822
27171,130968
27173,9835
28001,31400
28003,37250
28005,12546
28007,18671
28009,8161
28011,33251
28013,14626
28015,10202
28017,17384
28019,8367
28021,9143
28023,16023
28025,19989
28027,24481
28029,28812
28031,19240
28033,173084
28035,75643
28037,7720
28039,23409
28041,13543
28043,21448
28045,46255
28047,200521
28049,243665
28051,18325
28053,8703
28055,1346
28057,23518
28059,141236
28061,16548
28063,7499
28065,11640
28067,68366
28069,10010
28071,52654
28073,60827
28075,78275
28077,12672
28079,22780
28081,84730
28083,30194
28085,34516
28087,59574
28089,102364
28091,25408
28093,35887
28095,35830
28097,10183
28099,29445
28101,21479
28103,10939
28105,49480
28107,34153
28109,54941
28111,12068
28113,39862
28115,30834
28117,25417
28119,7512
28121,149374
28123,28392
28125,4563
28127,27140
28129,16077
28131,18035
28133,26902
28135,14591
28137,28379
28139,21991
28141,19467
28143,10260
28145,28265
28147,14590
28149,47510
28151,47952
28153,20486
28155,9869
28157,9085
28159,18447
28161,12462
28163,27411
29001,25339
29003,17311
29005,5304
29007,25941
29009,35325
29011,11835
29013,16367
29015,18782
29017,12321
29019,174395
29021,89223
29023,42840
29025,9011
29027,44704
29029,44781
29031,78151
29033,8882
29035,6276
29037,101390
29039,13788
29041,7591
29043,83085
29045,6801
29047,235253
29049,20572
29051,76857
29053,17605
29055,24485
29057,7575
29059,16343
29061,8282
29063,12544
29065,15621
29067,13353
29069,30825
29071,102284
29073,14745
29075,6653
29077,287250
29079,10004
29081,8622
29083,21710
29085,9269
29087,4483
29089,10139
29091,40073
29093,10211
29095,687182
29097,118569
29099,223106
29101,53643
29103,3907
29105,35442
29107,32626
29109,37993
29111,10135
29113,54611
29115,12281
29117,14933
29119,22699
29121,15280
29123,12183
29125,8968
29127,28688
29129,3660
29131,24869
29133,13943
29135,15877
29137,8633
29139,11586
29141,20058
29143,18090
29145,58164
29147,22629
29149,10848
29151,13520
29153,9347
29155,17428
29157,19078
29159,42305
29161,44799
29163,18400
29165,96405
29167,31279
29169,53292
29171,4861
29173,10161
29175,25030
29177,22770
29179,6297
29181,13784
29183,385038
29185,9408
29186,17815
29187,66242
29189,1001127
29195,23035
29197,4492
29199,4814
29201,38982
29203,8279
29205,6101
29207,29734
29209,31315
29211,6369
29213,54301
29215,25662
29217,20631
29219,33479
29221,24784
29223,13416
29225,37527
29227,2044
29229,18228
29510,316257
30001,9288
30003,13277
30005,6618
30007,5715
30009,10389
30011,1147
30013,81829
30015,5767
30017,12069
30019,1748
30021,9558
30023,9108
30025,3170
30027,11285
30029,95738
30031,100334
30033,1284
30035,13622
30037,818
30039,3164
30041,16423
30043,11553
30045,1931
30047,29416
30049,66138
30051,2393
30053,19014
30055,1699
30057,7922
30059,1819
30061,4184
30063,113780
30065,4617
30067,15963
30069,480
30071,4141
30073,6084
30075,1767
30077,6793
30079,1137
30081,41131
30083,11894
30085,11405
30087,9339
30089,11286
30091,3652
30093,34488
30095,9422
30097,3619
30099,6050
30101,5076
30103,685
30105,7608
30107,2084
30109,1072
30111,156324
31001,31549
31003,6419
31005,452
31007,715
31009,477
31011,5317
31013,11327
31015,2002
31017,2982
31019,48743
31021,6535
31023,8057
31025,25398
31027,8514
31029,3987
31031,5817
31033,10138
31035,6291
31037,10707
31039,9109
31041,10835
31043,20644
31045,8965
31047,23971
31049,1911
31051,5765
31053,36505
31055,549919
31057,1774
31059,5554
31061,2979
31063,2631
31065,4832
31067,21690
31069,1916
31071,2015
31073,2025
31075,646
31077,2434
31079,61300
31081,9142
31083,3454
31085,914
31087,2886
31089,10279
31091,714
31093,6382
31095,7212
31097,5224
31099,6559
31101,8136
31103,798
31105,3715
31107,8473
31109,306500
31111,35499
31113,791
31115,606
31117,490
