gdp,iso3,period,hlthexp,pctf_primary,pctf_secondary,area
34814.1251168487,ITA,2012,94820.9348019444,48.3806915283203,53.0190887451172,Italy
5209.5061889556,JAM,2012,9202.69322738712,49.0452308654785,NA,Jamaica
48603.4766497749,JPN,2012,142718.16149567,48.7367286682129,49.6658706665039,Japan
3870.75321121669,JOR,2012,10875.6371386388,48.5230598449707,NA,Jordan
12386.7000029472,KAZ,2012,15750.3613547318,48.822811126709,49.5019912719727,Kazakhstan
1153.23223070126,KEN,2012,1647.02131966432,49.8488616943359,47.9619407653809,Kenya
1763.81549743152,KIR,2012,5279.31297463364,NA,NA,Kiribati
24358.7821758226,KOR,2012,51405.0966649029,47.8470115661621,47.8023109436035,Republic of Korea
51264.0713358672,KWT,2012,41045.8986244903,49.0633087158203,50.1578903198242,Kuwait
1177.97473487848,KGZ,2012,2486.61491941575,48.7044715881348,49.5100402832031,Kyrgyzstan
1588.63314741682,LAO,2012,976.516978696484,47.6138610839844,45.7390289306641,Lao People's Democratic Republic
13822.8055940347,LVA,2012,24482.0343785242,48.5362815856934,50.9685707092285,Latvia
8922.89675171623,LBN,2012,19395.4356050274,48.3145790100098,53.6247596740723,Lebanon
1281.62055793461,LSO,2012,3995.80936870856,48.9509811401367,57.1723594665527,Lesotho
415.036195795687,LBR,2012,1431.95311642906,NA,NA,Liberia
13209.1407809781,LBY,2012,19129.2854070064,NA,NA,Libya
149295.646043634,LIE,2012,NA,48.7878799438477,51.681079864502,Liechtenstein
14341.1816279932,LTU,2012,27549.230710002,48.5694313049316,49.5649185180664,Lithuania
106749.013622989,LUX,2012,225732.20500258,48.433479309082,50.2669982910156,Luxembourg
76496.3661850194,MAC,2012,NA,47.6993713378906,48.7179489135742,"China, Macao SAR"
4698.6894759835,MKD,2012,9596.26328344837,48.3538093566895,50.0794906616211,TFYR Macedonia
443.906100111531,MDG,2012,480.714710412593,49.4855194091797,49.2111396789551,Madagascar
374.501880192755,MWI,2012,910.202849220189,50.437858581543,46.9670295715332,Malawi
10779.5075072926,MYS,2012,12530.6345582591,48.6800994873047,NA,Malaysia
7473.19562949108,MDV,2012,19501.7704072372,48.0810317993164,49.1335983276367,Maldives
777.347686759476,MLI,2012,1280.06068283704,45.9491310119629,41.1391105651855,Mali
21926.0603957387,MLT,2012,61281.8954303579,48.7037010192871,50.0859909057617,Malta
3516.89991075328,MHL,2012,17574.8451816674,NA,NA,Marshall Islands
1364.2839258409,MRT,2012,1369.9699163426,50.5343399047852,45.2012596130371,Mauritania
9291.22761861899,MUS,2012,13108.7804996474,49.1806983947754,52.130500793457,Mauritius
9940.46882245558,MEX,2012,18785.0828829839,48.9136390686035,49.9666786193848,Mexico
3150.91060162507,FSM,2012,12094.6608395399,NA,NA,Micronesia (Fed. States of)
2046.53678665109,MDA,2012,7238.12461805389,48.3833618164063,50.4065704345703,Republic of Moldova
4368.08224755108,MNG,2012,6202.58797218953,48.7851905822754,NA,Mongolia
